name,activation,target,area,duration,range,savetype,onsave,school,description,level,icon
REVERBERATION OF DEFEAT,swift,One or more creatures (see text),,Instantaneous,30 ft.,,,Sleeping Goddess (Boost),"As you destroy one foe, his allies feel the weight of his failure,
the pain, fear, and feeling of utter defeat cascading down
the ties of friendship or belief. You can activate this boost
when you reduce an opponent to 0 or lower hit points.
Each of that opponents allies within 30 feet must succeed
at a Will save (DC 15 + your initiation modifier) or become
shaken and sickened for a number of rounds equal to your
initiation modifier.",5,icons/svg/temple.svg
THE TIES THAT BIND,standard,One or more creatures (see text),,Instantaneous (see text),Melee attack and 60 ft. (see text),,,Sleeping Goddess (Strike),"With a psionically-empowered strike, you stab through an
enemys physical form and attack their spirit and those tied
to it. In the minds of your targets, the world warps, keeping
them from fighting or moving effectively. Make an attack. If
it hits, it deals weapon damage as normal plus an additional
5d6 points of damage, and the target must succeed at a
Will save (DC 15 + your initiation modifier) or it and one
of the targets allies within 60 feet of your choice become
entangled for a number of rounds equal to your initiation
modifier. The targets ally does not receive a saving throw
against this effect.
Augment: You can augment this maneuver in one or
more of the following ways:
• For every power point you spend, this strike deals an
additional 1d6 points of damage. For every 2d6 you
increase the damage by, the save DC of this strike
increases by +1.
• For every 3 power points you spend, you may select an
additional one of the targets allies to entangle if the
target fails its saving throw.• If you expend your psionic focus while initiating this
strike, the target and its affected allies also become
nauseated for one round on a failed saving throw.",5,icons/svg/temple.svg
CONVERT INTRUSION,immediate,You (see text),,1 round (see text),Personal and 30 ft. (see text),,,Sleeping Goddess (Counter),"With a practiced flourish of your weapon and a surge of
spiritual might, you tear magic asunder and redirect its
power to assist your allies. You can initiate this counter
when in response to being targeted by or within the area
of a power, psi-like ability, spell, or spell-like ability. Make an
Autohypnosis check with a DC of 11 + the effects caster or
manifester level. If you succeed, the effect is negated, and
all allies within 30 feet of you gain a competence bonus on
saving throws equal to 1/2 your initiation modifier for one
round.
Augment: You can augment this maneuver in one or
more of the following ways:
• For every 2 power points you spend, the bonuses
granted by this counter last an additional round.
• If you expend your psionic focus while initiating this
counter, you can use it in response to an ally within
60 feet being targeted by or within the area of a power,
psi-like ability, spell, or spell-like ability. If you do, make
an Autohypnosis check as normal, then apply the
effects of this counter to that ally rather than yourself.
Your allies within 30 feet of that ally gain the bonus on
saving throws from this counter.",6,icons/svg/temple.svg
DREAMING NOMAD STRIKE,1 full-round action,One or more creatures (see text),,Instantaneous,Melee attack and 50 ft. (see text),,,Sleeping Goddess (Strike) [teleportation],"You force reality around you to become dreamlike,
eschewing the restrictions of distance and becoming a
whirlwind of strikes flowing across the battlefield without
needing to take a single step. When you initiate this strike,
you may teleport to any space within 50 feet from which you
could make a melee attack against an opponent. After you
teleport, make a melee attack against that opponent. If it
hits, it deals weapon damage as normal, and you can repeat
this process, teleporting to a space within 50 feet of your
new location. The maximum number of attacks you can
make in this way is equal to one plus an additional attack
for every four initiator levels you possess, and each attack
is made at your highest attack bonus. You cannot attack an
individual creature more than once during this strike.
Augment: You can augment this maneuver in one or
more of the following ways:
• For every power point you spend, this strike deals an
additional 1d6 points of damage. For every 2d6 you
increase the damage by, the distance you can teleport
before each attack increases by 10 feet.
• For every 2 power points you spend, the maximum
number of attacks you can make with this strike is
increased by one.
• If you expend your psionic focus while initiating this
strike, you may teleport to any open space within 50
feet at the conclusion of this strike, whether or not the
strike ended because you missed an attack or because
you made all possible attacks.",6,icons/svg/temple.svg
OVERPOWERING OPTIMISM,swift,You,,3 rounds,Personal,,,Sleeping Goddess (Boost),"Your faith in yourself allows you to press the advantage
further than most—by believing you can succeed, you
change yourself into someone who will. When you initiate
this boost, you instantly regain your psionic focus. In
addition, you may augment a maneuver you initiate within
the next three rounds without spending power points,
gaining the benefits of the maneuver as if you had spent
the maximum number of power points you could spend on
that maneuver. You may not spend additional power points
when augmenting a maneuver in this way, nor does this
maneuver allow you to spend more power points than you
would normally be allowed to.",6,icons/svg/temple.svg
STRIKE OF TRANSFIXED AWE,1 Standard action,One creature,,Instantaneous (see text),Melee or ranged attack,,,Sleeping Goddess (Strike),"Your strike momentarily alters the flow of magic around your
opponent, viciously rending power from their mind. Make
an attack. If it hits, it deals weapon damage as normal plus
an additional 6d6 points of damage, and the target must
succeed at a Will save (DC 16 + your initiation modifier)
or become stunned for one round. In addition, if the target
fails its save, you learn their caster level or manifester level
(if any) and the target loses their highest level unexpended
spell slot as if they had cast it (chosen at random) and power
points equal to their manifester level. A target that cannot
cast spells or does not possess power points is unaffected by
this additional effect.
Augment: You can augment this maneuver in one or
more of the following ways:
• For every power point you spend, this strike deals an
additional 1d6 points of damage. For every 2d6 you
increase the damage by, the save DC of this strike
increases by +1.",6,icons/svg/temple.svg
PERFECT DISTILLATION OF THE SOUL,swift,You,,1 round/level (see text),Personal,,,Sleeping Goddess (Boost),"Your souls blade is unparalleled in form, shining as a beacon
of your will and ideals, and carving through your foes as
well as even the most powerful magic weapons. When
you initiate this boost, a souls blade appears in your hands,
taking the form of a +5 melee weapon you are proficient
with. Alternatively, you may create two souls blades, each
taking the form of an identical +4 melee weapons you are
proficient with. A souls blade created with this boost has
hardness 20 and 50 hit points. The blade lasts a number of
rounds equal to your initiator level before vanishing. If you
throw your souls blade or otherwise relinquish your grip on
it (such as by being disarmed), it dissipates after one round
dissipates after one round unless you reclaim it. You can
have multiple souls blades created at once if you initiate
this boost or other boosts that create a souls blade multiple
times, although only as many as you can wield.
If you are currently wielding a mind blade or equivalent
weapon (such as a deadly fists empowered strikes, a psychic
armorys panoply of blades, or a soulbolts mind bolt), you
can choose to amplify it instead of this boosts normal
effects. Until the start of your next turn, all such weapons
you wield (including those created after initiating this
boost) gain the benefit of a single weapon special ability
equivalent to up to +3 enhancement bonus. This ability
must be chosen from the list of weapon special abilities you
can normally place on your mind blade (see the enhanced
mind blade class feature in Chapter 3 of Ultimate Psionics).",7,icons/svg/temple.svg
PIERCE THE SOUL,standard,One creature (see text),,Instantaneous,Melee or ranged attack,,,Sleeping Goddess (Strike),"You deliver a deadly blow to an enemy with a familiar or
similar bond, striking through the mystic ties between
master and servant. Make an attack. If it hits, it deals
weapon damage as normal plus an additional 7d6 points
of damage. If your target is an animal companion, eidolon,
familiar, psicrystal, or similar creature with a telepathic or
empathic link to another creature (including creatures
within a collective or under the effect of a mindlink power
or telepathic bond spell, although not including creatures
communicating with the telepathy ability), you can choose
to deal this attacks damage to the creature that your target
is linked to. The target can make a Will save (DC 17 + your
initiation modifier) to negate this transfer of damage; if it
succeeds, it takes the strikes damage as normal. The linked
creature does not receive a saving throw against this effect.
You automatically know whether or not the target is such
a creature when this strike hits, although you do not learn
the identity of the creature linked to it. If the target is linked
to multiple other creatures, then the damage is transferred
to one of them at random. This strike can transfer damage
across any distance, although it cannot damage a creature
on another plane of existence from the target.
Augment: You can augment this maneuver in one or
more of the following ways:
• For every power point you spend, this strike deals an
additional 1d6 points of damage. For every 2d6 you
increase the damage by, the save DC of this strike
increases by +1.
• If you expend your psionic focus while initiating this
strike, you deal damage to both the target and thelinked creature. The target may still make a Will save to
negate the damage being dealt to that creature.
SOUL-CRUSHING MIEN
Discipline: Sleeping Goddess (Counter) [mind-affecting]
Level: 7
Prerequisites: Three Sleeping Goddess maneuvers
Initiation Action: 1 immediate action
Range: Personal (see text)
Target: You (see text)
Duration: 1 round
Your resolution proves dangerous, and able to damage
minds that even slightly contact your own. You can initiate
this maneuver when you are targeted or otherwise affected
by an effect that requires a Will save. You gain a +4 bonus
on that saving throw, and if you succeed, the originator of
the effect becomes stunned for one round.
Augment: You can augment this maneuver in one or
more of the following ways:
• For every 2 power points you spend, the bonus on your
Will save increases by +1.
• If you expend your psionic focus while initiating this
counter, the originator of the effect is dazed for one
round if you succeed on your Will save, rather than
stunned. The creature still drops held items, takes a –2
penalty to its AC, and loses its Dexterity bonus to its
AC (if any) as if it were stunned.",7,icons/svg/temple.svg
INDOMITABLE IDEALISM,immediate,You,,Instantaneous,Personal and 100 ft. (see text),,,Sleeping Goddess (Counter),"An idea cannot be killed as long as it still inhabits a mind.
As a master of the Sleeping Goddess discipline, you have
the ability to use this fact to your advantage, channeling
overwhelming psionic power through yourself for a brief
moment in order to become a living embodiment of your
ideals and beliefs. You can initiate this counter when you
would be killed or knocked unconscious, either through
damage reducing you to 0 or fewer hit points or by an
effect that kills you outright (such as a death effect or
a vorpal weapon). You do not take the damage or are
completely unaffected by the effect, and may move to
a space adjacent to any creature within 100 feet that has
seen you or otherwise knows who you are. This movement
does not provoke attacks of opportunity, nor does it require
line of sight or line of effect, although you must be aware
that the creature in question is in range. To observers, you
seem to vanish and reappear next to the creature, folding
out of space and becoming to all eyes a near-flawless, ideal
version of yourself for a few seconds before returning to
your normal appearance.",8,icons/svg/temple.svg
SELF BEYOND THE SELF,standard,One creature,,Instantaneous (see text),Melee or ranged attack,,,"Sleeping Goddess (Strike) [compulsion, mindaffecting]","With your studied understanding of the mind and its
motivations, beliefs, and ideals, you can temporarily subvert
the spirit of a foe, briefly making them into a staunch ally.
Make an attack. If it hits, it deals weapon damage as normal,
and the target must succeed at a Will save (DC 18 + your
initiation modifier) or fall under your complete control for
one round, as if you had manifested a Geths mind control
power on them, although it can affect any creature type,
not just humanoids.
Augment: You can augment this maneuver in one or
more of the following ways:
• For every power point you spend, this strike deals an
additional 1d6 points of damage. For every 2d6 you
increase the damage by, the save DC of this strike
increases by +1.
• If you spend 6 power points, the target is controlled for
an additional round.
• If you expend your psionic focus while initiating this
strike, you ignore any immunity to mind-affecting
effects the target possesses. Instead, a normallyimmune target gains a +5 resistance bonus on its
saving throw.",8,icons/svg/temple.svg
IMMORTAL TRUTHS OF THE SLEEPING GODDESS,standard,One creature,,Instantaneous,Melee or ranged attack,,,Sleeping Goddess (Strike) [mind-affecting],"Standing at the pinnacle of the Sleeping Goddess disciplines
students, you have the ability to share your beliefs in a way
that no others can. By making contact with your opponents
mind and soul, you can open a dialogue, communicating
your respective ideals instantaneously and debating their
merits. Make an attack. If it hits, it deals an additional 10d6
points of damage. If this damage would reduce the target
to 0 or fewer hit points, you can attempt to convert them
to your way of thinking, clashing beliefs in a brief moment
of spiritual contact. If you do, you and the target make
an opposed ability check, with you using your initiation
modifier and the target using its Charisma modifier. If the
target succeeds, they take damage as normal, potentially
killing them or knocking them unconscious.
If you succeed, the target is instead reduced to 1 hit point,
and their attitude towards you and your allies changes
to helpful. This is not a compulsion, nor is it forcing the
target to follow your orders, but rather the result of a
spiritual conversation that took place in the instant of
the strike. The target now understands your beliefs and
ideals and either believes in them as well or respects your
belief enough to be unwilling to oppose you. Regardless
of whether or not the target succeeds on their check, you
gain a deep understanding of their own beliefs and ideals.
While you have this maneuver readied and unexpended,
you automatically know the current hit point total of each
creature within your melee reach.
Augment: You can augment this maneuver in one or
more of the following ways:
• For every power point you spend, this strike deals an
additional 1d6 points of damage. For every 2d6 you
increase the damage by, you gain a +1 bonus on your
ability check.
• If you expend your psionic focus while initiating this
strike, you ignore any immunity to mind-affecting
effects the target possesses.DISARMING SHOT
Discipline: Tempest Gale (Strike)
Level: 1
Initiation Action: 1 standard action
Range: Ranged attack
Target: One creature
Duration: Instantaneous
Your careful training allows you to fire shots from an
unexpected angle and strike opponents where they least
expect it, their weapons. Make a ranged attack. If it hits,
it deals weapon damage as normal, and you can make a
disarm attempt against the target as a free action, using a
Sleight of Hand check in place of your combat maneuver
check. This disarm attempt does not provoke an attack of
opportunity.",9,icons/svg/temple.svg
DISTANT GALE,standard,One creature,,Instantaneous,Ranged attack,,,Tempest Gale (Strike),"Firing with the strength of the winds at your back, you
unleash an attack that becomes more dangerous the more
distance it travels. Make a ranged attack. If it hits, it deals
weapon damage as normal plus an additional +1 point of
damage for every 20 feet of distance between you and the
target (up to a maximum of +5).",1,icons/svg/lightning.svg
EYE OF THE NEEDLE,swift,You,,1 round,Personal,,,Tempest Gale (Boost),"For most archers, an enemy engaged in melee is a difficult
target at best, but for you a smaller target only presents
greater opportunity. After you initiate this boost, your next
ranged attack roll this round gains a +4 bonus if the target
of the attack is engaged in melee.",1,icons/svg/lightning.svg
SLIPSTREAM STRIKE,standard,One creature,,Instantaneous,Ranged attack,,,Tempest Gale (Strike),"The most basic protection against an arrow is some form
of cover, but you know many ways to negate this defense.
Make a ranged attack, ignoring any cover bonuses to the
targets AC. If it hits, it deals weapon damage as normal.",1,icons/svg/lightning.svg
DEFLECTING SHOT,immediate,One creature,,Instantaneous,30 ft. (see text),,,Tempest Gale (Counter),"You know well that a sudden shot can disrupt the enemy
and remove a potential threat. You can initiate this counter
in response to an attack being made against you or anally within 30 feet of you. Make a ranged disarm attempt
against the attacker, using a Sleight of Hand check in place
of your combat maneuver check. If your disarm attempt
is successful, the attack is negated (even if the weapon
cannot actually be disarmed). This disarm attempt does not
provoke an attack of opportunity.",2,icons/svg/lightning.svg
DISTRACTING DRAFT,swift,One creature,,1 round,Line of sight (see text),,,Tempest Gale (Boost),"Your well placed shot can both hurt the enemy and put
them off their guard. Make a ranged feint attempt against a
creature you can see, using a Sleight of Hand check in place
of the normal Bluff check. If your feint is successful, your
next ranged attack against that target within one round
deals an additional 1d6 points of damage.",2,icons/svg/lightning.svg
DUSTCATCHING BREEZE,standard,One creature,,Instantaneous,Ranged attack,,,Tempest Gale (Strike),"You target your enemy with unscrupulous tactics, throwing
them off balance and allowing your allies to seize the
advantage. Make a ranged attack. If it hits, it deals weapon
damage as normal plus an additional 2d6 points of damage,
and you can make a dirty trick attempt against the target as
a free action, using a Sleight of Hand check in place of your
combat maneuver check.",2,icons/svg/lightning.svg
PIERCING SHOT,standard,,30-ft. line,Instantaneous,30 ft.,,,Tempest Gale (Strike),"The power behind your ranged attacks is such that they
can strike through one foe to pierce another behind them.
When you initiate this strike, you create a 30-foot line that
deals 3d6 points of damage. Creatures caught in the line
can make a Reflex save (DC 12 + your initiation modifier)
to take half damage.",2,icons/svg/lightning.svg
SUDDEN GUST,standard,One creature,,Instantaneous,Ranged attack,,,Tempest Gale (Strike),"Your placed shot can knock an enemy to the ground as
easily as a mighty sword swing. Make a ranged attack. If it
hits, it deals weapon damage as normal plus an additional
2d6 points of damage, and you can make a trip attempt
against the target as a free action, using a Sleight of Hand
check in place of your combat maneuver check. This trip
attempt does not provoke an attack of opportunity.",2,icons/svg/lightning.svg
BATTERING GALE,standard,One creature,,Instantaneous,Ranged attack,,,Tempest Gale (Strike),"Your arrows strike with such force that they can drive back
even the mightiest foes. Make a ranged attack. If it hits, it
deals weapon damage as normal plus an additional 3d6
points of damage, and you can make a bull rush attempt
against the target as a free action, using a Sleight of Hand
check in place of your combat maneuver check. This bull
rush attempt does not provoke an attack of opportunity.",3,icons/svg/lightning.svg
CASCADING DRAFT,standard,You,,1 round,Personal,,,Tempest Gale (Boost),"Reading the winds allows you to hit further and strike harder
than any other martial artist. After you initiate this boost,
your next ranged attack this round deals an additional +2
damage for every 20 feet of distance between you and the
target (up to a maximum of +20 damage).",3,icons/svg/lightning.svg
CUTTING GALE,standard,One creature,,Instantaneous,Ranged attack,,,Tempest Gale (Strike),"Your arrows leave wounds which bleed more fiercely than
the pinpricks of a thousand lesser archers. Make a ranged
attack. If it hits, it deals weapon damage as normal plus
an additional 5d6 points of damage and automatically
overcomes damage reduction. In addition, a struck target
must succeed at a Fortitude save (DC 14 + your initiation
modifier) or take points of bleed damage equal to your
initiation modifier. The target continues to bleed until the
bleeding is stopped via magical healing or a successful DC
15 Heal check.",4,icons/svg/lightning.svg
EXPLODING GALE,standard,One creature and adjacent squares (see text),,Instantaneous,Ranged attack,,,Tempest Gale (Strike),"Even those who hide behind their fellows cannot save
themselves from your deadly shots. Make a ranged attack. If
it hits, it deals weapon damage as normal plus an additional
4d6 points of damage, and sparks and shrapnel explode
from the attack, dealing damage to creatures adjacent to
the target equal to your initiation modifier. Creatures other
than the primary target can make a Reflex save (DC 14 +
your initiation modifier) to avoid the damage.",4,icons/svg/lightning.svg
IRON WIND,standard,One creature,,Instantaneous (see text),Ranged attack,,,Tempest Gale (Strike),"A single powerful blow can leave an enemy reeling, and you
excel at delivering such blows. Make a ranged attack. If it
hits, it deal weapon damage as normal plus an additional
4d6 points of damage, and the target must succeed at a
Fortitude save (DC 14 + your initiation modifier) or become
staggered for a number of rounds equal to your initiation
modifier.",4,icons/svg/lightning.svg
WIND TUNNEL,swift,You,,1 round,Personal,,,Tempest Gale (Boost),"No foe can hide from your sharp eyes. After you initiate
this boost, your ranged attacks for one round ignore
any cover bonuses to the targets AC, and you donot take penalties on attack rolls from attacking creatures
beyond your weapons first range increment.",4,icons/svg/lightning.svg
BLINDING SHOT,standard,One creature,,Instantaneous (see text),Ranged attack,,,Tempest Gale (Strike),"With a skilled shot, you take your opponents sight, and
with it, the threat they pose. Make a ranged attack. If it
hits, it deals weapon damage as normal plus an additional
5d6 points of damage, and the target must succeed at a
Fortitude save (DC 15 + your initiation modifier) or become
blinded for a number of rounds equal to your initiation
modifier.",5,icons/svg/lightning.svg
FALSE WIND,immediate,One creature,,Instantaneous,Ranged attack,,,Tempest Gale (Counter),"You unleash a rapid shot that distracts or disables an enemy,
preventing them from harming you or your ally. You can
initiate this counter in response to an attack being made
against you or an ally by a creature you can see. Make a
ranged attack against that creature. If it hits, it deals weapon
damage as normal, and the ally targeted by the creature you
attacked can move up to their speed as a free action, even if
it isnt their turn. This movement does not provoke attacks
of opportunity.",5,icons/svg/lightning.svg
GROUNDING SHOT,standard,One creature,,Instantaneous (see text),Ranged attack,,,Tempest Gale (Strike),"Your slings and arrows can bring down even the mightiest
flyers, dropping them to the earth where their wings mean
nothing. Make a ranged attack. If it hits, it deals weapon
damage as normal plus an additional 5d6 points of damage,
and if the target of the attack is flying, they must succeed
at a Fly check opposed by your Sleight of Hand check or
lose their ability to fly for a number of rounds equal to your
initiation modifier, falling to the ground and taking falling
damage as normal.",5,icons/svg/lightning.svg
PIERCING GALE,standard,50-ft. line,,Instantaneous,50 ft.,,,Tempest Gale (Strike),"No foe can withstand the force of your weapons. When
you initiate this maneuver, you create a 50-foot line that
deals 10d6 points of damage. Creatures caught in the line
can make a Reflex save (DC 15 + your initiation modifier)
to take half damage. Any creature that fails its save is also
knocked prone by the force of the attack.",5,icons/svg/lightning.svg
RAZOR TEMPEST,standard,One creature,,Instantaneous,Ranged attack,,,Tempest Gale (Strike),"A scything wind seems to follow your attacks, leaving
gashes that bleed profusely in the flesh of your enemy. Make
a ranged attack. If it hits, it deals weapon damage as normal
plus an additional 8d6 points of damage and bleed damage
equal to your initiation modifier. The target continues to
bleed until the bleeding is stopped via magical healing or a
successful DC 15 Heal check.",6,icons/svg/lightning.svg
TRICK OF THE WIND,swift,You,,1 round,Personal,,,Tempest Gale (Boost),"Your skill at reading the wind is such that the very air itself
seems to bend to your will. After initiating this boost, you
can make a Sleight of Hand check in place of ranged attack
rolls for your ranged attacks this round. Any bonuses and
penalties that would be applied to a normal attack roll, such
as weapon enhancements, spell effects, or the penalties
for fighting with two weapons or shooting into melee, are
applied to the skill check as well.",6,icons/svg/lightning.svg
WIND LANCE,standard,One creature,,Instantaneous,Ranged attack,,,Tempest Gale (Strike),"Your attacks strike with the force of a mounted cavalry
charge. Make a ranged attack. If it hits, it deals deals double
damage. If you make this attack with a thrown weapon at
the end of a charge, the attack instead deals triple damage.",6,icons/svg/lightning.svg
BLACK WIND,standard,50-ft. line,,Instantaneous,50 ft.,,,Tempest Gale (Strike),"You unleash a mighty shot that thunders through enemy
lines, knocking aside any in its path. When you initiate this
maneuver, you create a 50-foot line that deals 15d6 points
of damage. Creatures caught in the line can make a Reflex
save (DC 17 + your initiation modifier) to take half damage.
Any creature that fails its Reflex save must also succeed at a
Fortitude save with the same DC or become dazed for one
round.HUNTING ZEPHYR
Discipline: Tempest Gale (Strike)
Level: 7
Prerequisites: Two Tempest Gale maneuvers
Initiation Action: 1 standard action
Range: Ranged attack
Target: One creature
Duration: Instantaneous
As a master of the Tempest Gale, you never miss your mark;
each shot is perfect. Make a ranged attack. This attack
automatically hits, threatens a critical hit, and cannot be
negated by the Deflect Arrows feat, a counter, or another
defensive ability activated as an immediate action (such as
the emergency force sphere spell or a similar effect). It deals
weapon damage as normal.",7,icons/svg/lightning.svg
PUNISHING TEMPEST,swift,You,,1 round,Personal,,,Tempest Gale (Boost),"Each shot you fire contains the force necessary to drive
back even the sturdiest opponent, or knock them off their
feet. After initiating this boost, whenever you hit a creature
with a ranged attack for one round, you can make a bull
rush attempt against that creature as a free action, using a
Sleight of Hand check in place of your combat maneuver
check. These bull rush attempts do not provoke an attack
of opportunity.",7,icons/svg/lightning.svg
BREATH STEALING WIND,standard,One creature,,Instantaneous (see text),Ranged attack,,,Tempest Gale (Strike),"You fire a single shot that steals the very breath from his
target. Make a ranged attack. If it hits, it deals weapon
damage as normal plus an additional 10d6 points of damage,
and the target must succeed at a Fortitude save (DC 18 +
your initiation modifier) or become silenced (as the spell)
for a number of rounds equal to your initiation modifier.",8,icons/svg/lightning.svg
STEEL TORNADO,standard,One creature,,Instantaneous,Ranged attack,,,Tempest Gale (Strike),"Your masterful shot spins your enemy around with
incredible force, causing them to lose their grip and their
balance. Make a ranged attack. If it hits, it deals weapon
damage as normal plus an additional 10d6 points of damage,
and you can make a trip attempt against the target as a free
action. In addition, you can make a disarm attempt against
the creature for each item it is holding or wielding. These
combat maneuver attempts use a Sleight of Hand check in
place of your combat maneuver check, and do not provoke
attacks of opportunity.",8,icons/svg/lightning.svg
VICIOUS TEMPEST VOLLEY,1 full-round action,One or more creatures (see text),,Instantaneous,Ranged attack,,,Tempest Gale (Strike),"Unleashing the might of the winds to carry your attacks
throughout the battlefield, you launch a hail of arrows,
bolts, stones or weapons to devastate your enemies. Make
a full attack with any ranged weapon you are wielding. Each
attack deals an additional 2d6 points of damage, and any
time you hit with an attack during this full attack, you can
make a bull rush, dirty trick, disarm, sunder, or trip attempt
against the creature struck as a free action. These combat
maneuver attempts use a Sleight of Hand check in place of
your combat maneuver check, and do not provoke attacks
of opportunity.",9,icons/svg/lightning.svg
GRAVEKEEPERS HOOD,swift,You,,1 round,Personal,,,Unquiet Grave (Boost); Level: 1,"Drawing on the power that gives sight to the sightless dead, your vision transcends mortal limits. You become immune to the blinded condition for 1 round.
Grave Call: An undead creature initiating this boost may instead increase their channel resistance by 6 for 1 round.",1,icons/svg/terror.svg
HUNGRY STILLNESS STRIKE,standard,Creature struck,,Instantaneous,Melee attack,,,Unquiet Grave (Strike); Level: 1,"You infuse your weapon with negative energy as you strike your foe. Make a melee attack. If it hits, it deals weapon damage as normal plus an additional 1d8 points of negative energy damage.",1,icons/svg/terror.svg
THIRSTING AXE STRIKE,standard,Creature struck,,Instantaneous,Melee attack,,,Unquiet Grave (Strike); Level: 1,"Drawing on the primal hunger of the negative energy plane, you lash out at your victim. Make a melee attack. If it hits, it deals weapon damage as normal and you gain temporary hit points equal to the damage dealt. The temporary hit points gained from this maneuver stack with those gained from other Unquiet Grave maneuvers, to the normal maximum.",1,icons/svg/terror.svg
WHISPERS OF UNDEATH,immediate,You,,1 round,Personal,,,Unquiet Grave (Counter); Level: 1,"You infuse yourself with subtle threads of negative energy. When you initiate this counter, you gain negative energy resistance 5, as well as a +1 bonus to saving throws vs. energy drain and death effects, for 1 round.
Grave Call: An undead creature initiating this maneuver instead improves their positive energy resistance by 5 and gains a +1 bonus to saving throws vs. effects with the good and/or light descriptors for 1 round.",1,icons/svg/terror.svg
CHILLING GRAVE DEFENSE,immediate,1 creature,,1 round,Close (25 ft. plus 5 ft. per 2 levels),,,Unquiet Grave (Counter); Level: 2,"You afflict an attacker with the chill of the grave, sapping the strength from their limbs. You may activate this counter in response to a melee or ranged attack being made against you. The creature making that attack suffers a -4 penalty to its Strength and Dexterity for 1 round. Apply these penalties before calculating the attack and damage rolls for the attack (this may cause the attack to miss).",2,icons/svg/terror.svg
HEADSTONE BREAKING STRIKE,standard,Creature struck,,Instantaneous,Melee attack,,,Unquiet Grave (Strike); Level: 2,"You mimic the savage fury of the undying, breaking the bodies of your foes. Make a melee attack. If it hits, it deals weapon damage as normal, plus an additional 1d4 points of damage to a physical ability score of your choice. This ability damage ignores the normal immunity to physical ability damage enjoyed by undead creatures, though they still cannot suffer Constitution damage.",2,icons/svg/terror.svg
RAGING SPECTER STIKE,standard,Creature struck,,Instantaneous,Melee attack,,,Unquiet Grave (Strike); Level: 2,"You transmute your weapon into a semi-ethereal state, striking with the undying hate of a specter. Make a melee attack against your opponents touch AC. If it hits, it deals weapon damage as normal. Unlike normal touch attacks, you may use Power Attack to enhance the damage dealt by this maneuver.",2,icons/svg/terror.svg
RATTLING SKELETON PARRY,immediate,You,,1 round,Personal,,,Unquiet Grave (Counter); Level: 2,"Your flesh shrivels, revealing hard bones that turn aside enemy weapons. When you initiate this counter, you gain DR 5/bludgeoning and magic, as well as cold resistance 10, until the beginning of your next turn.
Grave Call: Undead creatures initiating this maneuver also improve their natural armor by 1.",2,icons/svg/terror.svg
STALKING GHOUL,swift,You,,1 round,Personal,,,Unquiet Grave (Boost); Level: 2,"You move with the swiftness and cunning of the cannibalistic ghouls. When you initiate this boost you gain a +4 competence bonus to Stealth checks for 1 round. During that time, you do not require cover or concealment to remain hidden using the Stealth skill, which may permit you to move in the open without being detected. You still suffer the usual effects of not having cover or concealment while using Stealth when the duration of this boost expires.",2,icons/svg/terror.svg
DARKENED AXE STYLE,swift,You,,1 round,Personal,,,Unquiet Grave (Boost); Level: 3,"You infuse your attacks with negative energy, draining the life of your victims. When you initiate this boost, your melee attacks deal an additional 2d8 points of negative energy damage for 1 round.",3,icons/svg/terror.svg
LIFE SEALING STRIKE,standard,Creature struck,,Instantaneous and special; see text,Melee attack,,,Unquiet Grave (Strike) [Curse]; Level: 3,"You afflict your victim with an entropic curse, sealing their life force away from succor. Make a melee attack. If it hits, it deals weapon damage as normal, plus an additional 2d8 points of negative energy damage, and your victim must succeed at a Will save or become cursed and unable to heal hit point damage (by any means) for a number of rounds equal to your initiation modifier.",3,icons/svg/terror.svg
WIGHTS BLOW,standard,Creature struck,,Instantaneous,Melee attack,,,Unquiet Grave (Strike); Level: 3,"You call upon the anger of the hungry wight, draining the vital essence of your foes. Make a melee attack. If it hits, it deals weapon damage as normal, plus an additional 1d8 points of negative energy damage. The creature struck also gains a negative level, which lasts until the end of the encounter.",3,icons/svg/terror.svg
HUNTING MOHRG STRIKE,standard,Creature struck,,Instantaneous and special; see text,Melee attack,,,Unquiet Grave (Strike); Level: 4,"Your axe lashes out like a hungry mohrg. Make a melee attack. If it hits, it deals weapon damage as normal, plus an additional 2d8 points of negative energy damage, and your victim must succeed at a Fortitude save or become paralyzed for 1 round.",4,icons/svg/terror.svg
ROTTING AXE STYLE,swift,You,,1 round,Personal,,,Unquiet Grave (Boost); Level: 4,"You draw upon the destructive entropy of the negative energy plane, infusing it into your strikes. When you initiate this boost, your melee attacks ignore hardness and overcome an amount of damage reduction equal to your initiator level for 1 round.
Grave Call: Attacks by undead creatures initiating this boost overcome damage reduction entirely for the duration of this boost.",4,icons/svg/terror.svg
SHRIEKING SHADOW AXE,standard,Creature struck,,Instantaneous,Melee attack,,,Unquiet Grave (Strike); Level: 4,"You wrap your weapon in tenebrous energy that saps the strength of your victims. Make a melee attack. If it hits, it deals weapon damage as normal, plus 1d8 points of Strength damage. You gain temporary hit points equal to twice the Strength damage dealt by this strike. The temporary hit points gained from this maneuver stack with those gained from other Unquiet Grave maneuvers, to the normal maximum.",4,icons/svg/terror.svg
